date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:16	1506/1506	---M--	200	added ('OK')	text/html	etag:%225e2-4f29fc59d8800%22	http://schemas.opengis.net/sensorML/2.0/simple_process.sch	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/simple_process.html	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:16	3597/3597	---M-Z	200	added ('OK')	application/xml	etag:%22e0d-4f29fc59d8800-gzip%22	http://schemas.opengis.net/sensorML/2.0/simple_process.xsd	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/simple_process.xsd	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:17	3033/3033	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:18%20GMT	http://schemas.opengis.net/sensorML/1.0.0/?C=N;O=A	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.0/indexb70a.html	(from http://schemas.opengis.net/sensorML/1.0.0/?C=N;O=D)
16:17:17	3033/3033	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:18%20GMT	http://schemas.opengis.net/sensorML/1.0.0/?C=M;O=D	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.0/index72c9.html	(from http://schemas.opengis.net/sensorML/1.0.0/?C=M;O=A)
16:17:18	3033/3033	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:18%20GMT	http://schemas.opengis.net/sensorML/1.0.0/?C=S;O=D	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.0/index5851.html	(from http://schemas.opengis.net/sensorML/1.0.0/?C=S;O=A)
16:17:18	3033/3033	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:18%20GMT	http://schemas.opengis.net/sensorML/1.0.0/?C=D;O=D	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.0/indexad3f.html	(from http://schemas.opengis.net/sensorML/1.0.0/?C=D;O=A)
16:17:18	3033/3033	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:18%20GMT	http://schemas.opengis.net/sensorML/1.0.1/?C=M;O=D	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.1/index72c9.html	(from http://schemas.opengis.net/sensorML/1.0.1/?C=M;O=A)
16:17:18	3033/3033	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:18%20GMT	http://schemas.opengis.net/sensorML/1.0.1/?C=N;O=A	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.1/indexb70a.html	(from http://schemas.opengis.net/sensorML/1.0.1/?C=N;O=D)
16:17:19	3033/3033	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:19%20GMT	http://schemas.opengis.net/sensorML/1.0.1/?C=S;O=D	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.1/index5851.html	(from http://schemas.opengis.net/sensorML/1.0.1/?C=S;O=A)
16:17:19	3033/3033	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:19%20GMT	http://schemas.opengis.net/sensorML/1.0.1/?C=D;O=D	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.1/indexad3f.html	(from http://schemas.opengis.net/sensorML/1.0.1/?C=D;O=A)
16:17:19	4615/4615	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:19%20GMT	http://schemas.opengis.net/sensorML/2.0/?C=N;O=A	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/indexb70a.html	(from http://schemas.opengis.net/sensorML/2.0/?C=N;O=D)
16:17:19	4615/4615	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:19%20GMT	http://schemas.opengis.net/sensorML/2.0/?C=M;O=D	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/index72c9.html	(from http://schemas.opengis.net/sensorML/2.0/?C=M;O=A)
16:17:20	4615/4615	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:20%20GMT	http://schemas.opengis.net/sensorML/2.0/?C=S;O=D	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/index5851.html	(from http://schemas.opengis.net/sensorML/2.0/?C=S;O=A)
16:17:20	4615/4615	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:20%20GMT	http://schemas.opengis.net/sensorML/2.0/?C=D;O=D	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/indexad3f.html	(from http://schemas.opengis.net/sensorML/2.0/?C=D;O=A)
